network,attack,fraction_removed,repeat,n_nodes,n_edges,density,mean_degree,average_clustering,n_components,giant_component_size,giant_component_fraction,global_efficiency_approx,n_spikes,mean_firing_rate_hz,active_fraction,population_rate_mean,population_rate_cv
random_geometric,degree,0.4,2,855,32078,0.08786446991796432,75.03625730994152,0.7187280192351481,1,855,1.0,0.3148657229283108,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.4,3,855,32078,0.08786446991796432,75.03625730994152,0.7187280192351481,1,855,1.0,0.3156340307979193,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.4,4,855,32078,0.08786446991796432,75.03625730994152,0.7187280192351481,1,855,1.0,0.31384409501487376,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.5,0,713,23648,0.09316545062010495,66.33380084151473,0.7362025648954468,1,713,1.0,0.3045218950641075,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.5,1,713,23648,0.09316545062010495,66.33380084151473,0.7362025648954468,1,713,1.0,0.3034357415952236,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.5,2,713,23648,0.09316545062010495,66.33380084151473,0.7362025648954468,1,713,1.0,0.30628540774914376,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.5,3,713,23648,0.09316545062010495,66.33380084151473,0.7362025648954468,1,713,1.0,0.3029700179462077,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.5,4,713,23648,0.09316545062010495,66.33380084151473,0.7362025648954468,1,713,1.0,0.30519000523890133,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.6,0,570,16151,0.0995960904017513,56.670175438596495,0.7493670401604692,1,570,1.0,0.29860726839065355,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.6,1,570,16151,0.0995960904017513,56.670175438596495,0.7493670401604692,1,570,1.0,0.2990086266252739,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.6,2,570,16151,0.0995960904017513,56.670175438596495,0.7493670401604692,1,570,1.0,0.29875179487569753,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.6,3,570,16151,0.0995960904017513,56.670175438596495,0.7493670401604692,1,570,1.0,0.2997272153495776,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.6,4,570,16151,0.0995960904017513,56.670175438596495,0.7493670401604692,1,570,1.0,0.29913996258086417,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.7,0,428,9207,0.10075729387817636,43.02336448598131,0.7541801210765171,1,428,1.0,0.29347323984239815,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.7,1,428,9207,0.10075729387817636,43.02336448598131,0.7541801210765171,1,428,1.0,0.2928205372561508,0,0.0,0.0,0.0,0.0
random_geometric,degree,0.7,2,428,9207,0.10075729387817636,43.02336448598131,0.7541801210765171,1,428,1.0,0.29353505826077536,0,0.0,0.0,0.0,0.0
